"","LPERMNO","mean_lv_bv","mean_lv_mv","NI_annualgr","NI_annualgeomean","CF_annualgr","CF_annualgeomean"
"1",10001,NA,NA,0.840823980176646,0.573531203967403,-0.97968448417957,0.066470761759407
"2",10002,NA,NA,-7.16776260933937,-13.3473548387097,-1.51758235534348,-2.05456930476607
"3",10025,0.505646823204197,NA,-4.23198645636813,19514060263.3987,1.03044024754703,124986462246.361
"4",10026,0.00138594792350869,0.0216785030517868,-0.0501457860454692,0.0418712239765536,-2.18294265073618,-53943.624569185
"5",10028,0.170212548796322,NA,-3.76016180206345,24.7747905530949,27.5591903229841,0.00454242825203375
"6",10032,0.165092008225969,56.0878925069404,-0.0661754012139381,6.3872137184363e-05,0.395156213408107,-1839.08405381733
"7",10044,0.0933036969454277,NA,0.908147771618088,2.68212279161421e-06,15.8739696337436,5.98213423601269e-09
"8",10051,0.424921245682327,46.0140926896465,0.106110376006442,12.62044033502,-2.10387657033673,2.13676773463073
"9",10065,NA,NA,NA,NA,NA,NA
"10",10100,0.00078064012490242,NA,-6605.81058912654,-0.420250896057348,5338.01226977028,-1.6144018583043
"11",10104,0.297342229338485,0.992802760333555,0.160903184753552,6.14150883831562e-07,-3.04667625090278,0.113550438191449
"12",10107,0.150956343500103,0.264837277784638,-0.0679356708928506,6.36910740573439e-07,-2.04065958496038,-2953.54473685184
"13",10116,0.292111284323654,0.569602753793778,-8.60387350247066,0.00537925041935243,9.01058770580606,8.91149476371844
"14",10137,NA,NA,0.63274228807384,1,-0.657170923379175,1
"15",10138,0,0,0.186380100086482,0.277234953709752,-5.41635971223443,0.00696091772053247
"16",10145,0.176516828019116,9.047379900897,0.0605950911181183,-6.48924828455983e-06,-2.07251137977953,4588904.13119258
"17",10147,0.0919255887456186,0.275622182645888,-0.141669278499345,2.38545314646587e-07,1.52822667592013,-2.06980759891221
"18",10158,0.319140824338168,103.343850611719,0.543031787309911,0.0385222387151632,4.61437493071531,0.587585641898856
"19",10163,0.35873755664277,232.97,5.99956013240591,12.5569898379566,-5.9032657488935,-0.734527469589627
"20",10180,0.338863707002315,5.40360118251483,0.657079754221747,169908.409939088,-0.517795335152115,9938.95660448055
"21",10182,0.0649430855167943,36.0259651871899,-0.133901522739004,5.09683608204157e-07,58.1423856465423,96630.9892014282
"22",10200,0.0471085957166542,0.134267421491074,3.5142843977428,358064321926882,8.67800661587137,4735210185.46767
"23",10201,0.555157721232332,10.9376347142121,2.52576600053705,999966735.380969,-34.901024048978,4299.08581288592
"24",10207,NA,NA,NA,NA,NA,NA
"25",10220,0.0937406938346165,11.1334484380811,0.431622772042226,5.39825513984805e-05,-0.435891562400033,0.074050913176881
"26",10223,0.0231468472175388,NA,-5.40928322623763,10.1139526971194,2.7661613545982,0.433296306631542
"27",10225,0.278015936085044,335.626876003548,-0.187494502179122,-0.0168881018017343,-1.4813120852561,-1.70387269130653
"28",10232,NA,NA,0.673781980554437,1.1683939193256e-06,-3.51433535680589,21.6889963424698
"29",10239,0,0,-0.554832825619232,1.50366904375216e-05,-1.65147271577406,0.165831694077334
"30",10252,NA,NA,-0.0249396780586604,2.94950917406349,-8.59222098494772,0.0837703840273054
"31",10253,0.22169961867248,NA,-2.09805512988801,0.146029292891855,-2.13120398902836,0.000107266214797644
"32",10257,0.0778816086956093,NA,-4.77277387925731,-23.1183131166849,-4.25087826559398,-69.4413351554443
"33",10258,0.0661947051497457,0.129131453325639,2.40709714126364,15147818372.9654,0.190997216778569,2.40925241921329e-05
"34",10259,0,0,-19.9196932061203,732.353737621975,-2.83586541457441,5.7923345814315
"35",10272,0,0,3.45719235125591,1,-0.998426193921852,1
"36",10290,0.0362092880632585,0.0494355069618657,-0.644281423770854,-0.661992884690125,-2264.14942528727,-0.96551724137931
"37",10294,0.069837259792168,8.76333239011096,0.394523262982182,171.949118517268,-0.317334792950252,12.7579466587731
"38",10297,NA,NA,6.52896175861479,4.67864656364233e-05,-3.20031451315409,0.275069811949764
"39",10299,0.2914300177263,0.536674806681874,-0.045715383279592,0.00248716359588809,-0.0841436353526629,6.73201343328063e-06
"40",10302,0.212847563349595,6.41072246977938,-3.22755033796775,1036776.81914148,-1.27474281134104,70521.4023593174
"41",10308,NA,NA,0.0294964906153955,0.0155477069536112,-118.510240603002,0.00201719203588272
"42",10318,0.149431379105118,NA,1.01509014259091,0.100627370022369,-2.96500914604667,220.497590498959
"43",10324,0.101388565395872,0.594783190147973,-1.16287333232262,1,-0.978823808394593,1
"44",10333,0.557689519769687,2.29178969039684,0.379499989898075,0.000117937341886509,-3.05131403950696,4020.44666186884
"45",10353,0.123733404481153,0.359450032856493,-1.07876230661041,1,-1.10844268383263,1
"46",10355,0.0810677940266057,0,10.4819721041497,-2.20593132403999,-4.41022054064947,-48101.0935357375
"47",10363,0.165423504908392,1.6009096986301,-11.1808252871343,0.829903175453032,-0.213295882607975,0.000392905706186545
"48",10375,NA,NA,-0.646087285319812,0.278064892350403,-0.789906219290374,30.4247221874159
"49",10382,0.00434058682038511,0.242629373814076,0.140969294557984,0.118522357080166,-0.818567878156234,4.48679042856089e-07
"50",10395,0.0466365874073696,0.0806414983675376,0.170669574517059,4.5533027432092e-05,-1.58660659863566,0.0808216347011569
"51",10397,0.0419963588928759,NA,0.149768138303275,20.0684831420685,-3.88481005565792,37.1576810347366
"52",10421,0.4116111008128,3.01981843237087,-2.10104157995851,368.096298130644,-0.185259277797016,285.679816162188
"53",10443,0.212471099996597,NA,-0.017911144693164,0.0632761210203987,-2.22207022299187,5.07317617059397
